Access_Point_Name,BSSID-MAC,SSID-2.4_and_5
wap-0563-81,44:12:44:6e:a3:21,eduroam
wap-0563-81,44:12:44:6e:a3:22,IllinoisNet_Guest
wap-0563-82,44:12:44:6e:bf:31,eduroam
wap-0563-82,44:12:44:6e:bf:32,IllinoisNet_Guest
wap-0563-82,44:12:44:6e:bf:30,IllinoisNet
wap-0563-82,44:12:44:6e:bf:11,eduroam
wap-0563-82,44:12:44:6e:bf:12,IllinoisNet_Guest
wap-0563-82,44:12:44:6e:bf:10,IllinoisNet
wap-0563-83,44:12:44:6d:82:e2,IllinoisNet_Guest
wap-0563-83,44:12:44:6d:82:e1,eduroam
wap-0563-83,44:12:44:6d:82:e0,IllinoisNet
wap-0563-83,44:12:44:6d:82:c2,IllinoisNet_Guest
wap-0563-83,44:12:44:6d:82:c1,eduroam
wap-0563-83,44:12:44:6d:82:c0,IllinoisNet
wap-0563-84,44:12:44:6a:29:d0,IllinoisNet
wap-0563-84,44:12:44:6a:29:d1,eduroam
wap-0563-84,44:12:44:6a:29:d2,IllinoisNet_Guest
wap-0563-84,44:12:44:6a:29:b0,IllinoisNet
wap-0563-84,44:12:44:6a:29:b1,eduroam
wap-0563-84,44:12:44:6a:29:b2,IllinoisNet_Guest
wap-0563-85,44:12:44:6e:68:c0,IllinoisNet
wap-0563-85,44:12:44:6e:68:c2,IllinoisNet_Guest
wap-0563-85,44:12:44:6e:68:c1,eduroam
wap-0563-85,44:12:44:6e:68:a2,IllinoisNet_Guest
wap-0563-85,44:12:44:6e:68:a1,eduroam
wap-0563-85,44:12:44:6e:68:a0,IllinoisNet
wap-0563-86,44:12:44:6a:0c:02,IllinoisNet_Guest
wap-0563-86,44:12:44:6a:0c:01,eduroam
wap-0563-86,44:12:44:6a:0c:00,IllinoisNet
wap-0563-86,44:12:44:6a:0b:e0,IllinoisNet
wap-0563-86,44:12:44:6a:0b:e1,eduroam
wap-0563-86,44:12:44:6a:0b:e2,IllinoisNet_Guest
wap-0563-87,44:12:44:6c:38:b2,IllinoisNet_Guest
wap-0563-87,44:12:44:6c:38:b1,eduroam
wap-0563-87,44:12:44:6c:38:b0,IllinoisNet
wap-0563-87,44:12:44:6c:38:90,IllinoisNet
wap-0563-87,44:12:44:6c:38:92,IllinoisNet_Guest
wap-0563-87,44:12:44:6c:38:91,eduroam
wap-0563-88,44:12:44:6d:32:72,IllinoisNet_Guest
wap-0563-88,44:12:44:6d:32:70,IllinoisNet
wap-0563-88,44:12:44:6d:32:71,eduroam
wap-0563-88,44:12:44:6d:32:50,IllinoisNet
wap-0563-88,44:12:44:6d:32:51,eduroam
wap-0563-88,44:12:44:6d:32:52,IllinoisNet_Guest
wap-0563-89,44:12:44:6e:75:52,IllinoisNet_Guest
wap-0563-89,44:12:44:6e:75:51,eduroam
wap-0563-89,44:12:44:6e:75:50,IllinoisNet
wap-0563-89,44:12:44:6e:75:32,IllinoisNet_Guest
wap-0563-89,44:12:44:6e:75:31,eduroam
wap-0563-89,44:12:44:6e:75:30,IllinoisNet
wap-0563-90,44:12:44:6b:96:22,IllinoisNet_Guest
wap-0563-90,44:12:44:6b:96:20,IllinoisNet
wap-0563-90,44:12:44:6b:96:21,eduroam
wap-0563-90,44:12:44:6b:96:02,IllinoisNet_Guest
wap-0563-90,44:12:44:6b:96:01,eduroam
wap-0563-90,44:12:44:6b:96:00,IllinoisNet
wap-0563-91,44:12:44:69:e1:40,IllinoisNet
wap-0563-91,44:12:44:69:e1:42,IllinoisNet_Guest
wap-0563-91,44:12:44:69:e1:41,eduroam
wap-0563-91,44:12:44:69:e1:22,IllinoisNet_Guest
wap-0563-91,44:12:44:69:e1:21,eduroam
wap-0563-91,44:12:44:69:e1:20,IllinoisNet
wap-0563-92,44:12:44:6c:70:c0,IllinoisNet
wap-0563-92,44:12:44:6c:70:c2,IllinoisNet_Guest
wap-0563-92,44:12:44:6c:70:c1,eduroam
wap-0563-92,44:12:44:6c:70:a2,IllinoisNet_Guest
wap-0563-92,44:12:44:6c:70:a1,eduroam
wap-0563-92,44:12:44:6c:70:a0,IllinoisNet
wap-0563-93,44:12:44:69:b1:12,IllinoisNet_Guest
wap-0563-93,44:12:44:69:b1:11,eduroam
wap-0563-93,44:12:44:69:b1:10,IllinoisNet
wap-0563-93,44:12:44:69:b0:f2,IllinoisNet_Guest
wap-0563-93,44:12:44:69:b0:f1,eduroam
wap-0563-93,44:12:44:69:b0:f0,IllinoisNet
wap-0563-94,44:12:44:6e:17:92,IllinoisNet_Guest
wap-0563-94,44:12:44:6e:17:90,IllinoisNet
wap-0563-94,44:12:44:6e:17:91,eduroam
wap-0563-94,44:12:44:6e:17:70,IllinoisNet
wap-0563-94,44:12:44:6e:17:72,IllinoisNet_Guest
wap-0563-94,44:12:44:6e:17:71,eduroam
wap-0563-95,44:12:44:69:88:62,IllinoisNet_Guest
wap-0563-95,44:12:44:69:88:61,eduroam
wap-0563-95,44:12:44:69:88:60,IllinoisNet
wap-0563-95,44:12:44:69:88:41,eduroam
wap-0563-95,44:12:44:69:88:40,IllinoisNet
wap-0563-95,44:12:44:69:88:42,IllinoisNet_Guest
wap-0563-96,44:12:44:6a:a6:82,IllinoisNet_Guest
wap-0563-96,44:12:44:6a:a6:80,IllinoisNet
wap-0563-96,44:12:44:6a:a6:81,eduroam
wap-0563-96,44:12:44:6a:a6:60,IllinoisNet
wap-0563-96,44:12:44:6a:a6:61,eduroam
wap-0563-96,44:12:44:6a:a6:62,IllinoisNet_Guest
wap-0563-97,44:12:44:69:b6:82,IllinoisNet_Guest
wap-0563-97,44:12:44:69:b6:81,eduroam
wap-0563-97,44:12:44:69:b6:80,IllinoisNet
wap-0563-97,44:12:44:69:b6:62,IllinoisNet_Guest
wap-0563-97,44:12:44:69:b6:61,eduroam
wap-0563-97,44:12:44:69:b6:60,IllinoisNet
wap-0563-98,44:12:44:6e:bd:20,IllinoisNet
wap-0563-98,44:12:44:6e:bd:22,IllinoisNet_Guest
wap-0563-98,44:12:44:6e:bd:21,eduroam
wap-0563-98,44:12:44:6e:bd:02,IllinoisNet_Guest
wap-0563-98,44:12:44:6e:bd:01,eduroam
wap-0563-98,44:12:44:6e:bd:00,IllinoisNet
wap-0563-99,44:12:44:6b:ef:f1,eduroam
wap-0563-99,44:12:44:6b:ef:f2,IllinoisNet_Guest
wap-0563-99,44:12:44:6b:ef:f0,IllinoisNet
wap-0563-99,44:12:44:6b:ef:d2,IllinoisNet_Guest
wap-0563-99,44:12:44:6b:ef:d1,eduroam
wap-0563-99,44:12:44:6b:ef:d0,IllinoisNet
wapo-0563-01,cc:88:c7:74:69:f2,IllinoisNet
wapo-0563-01,cc:88:c7:74:69:f1,eduroam
wapo-0563-01,cc:88:c7:74:69:f0,IllinoisNet_Guest
wapo-0563-01,cc:88:c7:74:69:e2,IllinoisNet
wapo-0563-01,cc:88:c7:74:69:e1,eduroam
wapo-0563-01,cc:88:c7:74:69:e0,IllinoisNet_Guest
wapo-0563-02,48:2f:6b:83:1a:91,eduroam
wapo-0563-02,48:2f:6b:83:1a:92,IllinoisNet
wapo-0563-02,48:2f:6b:83:1a:90,IllinoisNet_Guest
wapo-0563-02,48:2f:6b:83:1a:80,IllinoisNet_Guest
wapo-0563-02,48:2f:6b:83:1a:81,eduroam
wapo-0563-02,48:2f:6b:83:1a:82,IllinoisNet
wapo-0563-03,cc:88:c7:74:89:51,eduroam
wapo-0563-03,cc:88:c7:74:89:52,IllinoisNet
wapo-0563-03,cc:88:c7:74:89:50,IllinoisNet_Guest
wapo-0563-03,cc:88:c7:74:89:42,IllinoisNet
wapo-0563-03,cc:88:c7:74:89:41,eduroam
wapo-0563-03,cc:88:c7:74:89:40,IllinoisNet_Guest
wapo-0563-04,c8:b5:ad:ae:b0:71,eduroam
wapo-0563-04,c8:b5:ad:ae:b0:70,IllinoisNet_Guest
wapo-0563-04,c8:b5:ad:ae:b0:72,IllinoisNet
wapo-0563-04,c8:b5:ad:ae:b0:62,IllinoisNet
wapo-0563-04,c8:b5:ad:ae:b0:61,eduroam
wapo-0563-04,c8:b5:ad:ae:b0:60,IllinoisNet_Guest
